feature,importance
PC3,0.40292679833912537
PC22,0.3980435966741588
PC4,0.30091758541923097
PC31,0.22126745198955539
PC64,0.18177633852052308
PC29,0.18037398871142507
PC34,0.17587985125091102
PC30,0.17206960460910758
PC20,0.16819066384798706
PC25,0.15679748824890047
PC53,0.14837157295555922
PC9,0.14743017370291983
PC36,0.1447648861703524
PC28,0.14369557071309821
PC75,0.1436794026062426
PC48,0.14353690540754238
PC11,0.14269159646949794
PC32,0.14036649276665578
PC72,0.13975133195730308
PC41,0.13676666844484556
PC42,0.13597699684927655
PC79,0.13079669234316454
PC15,0.12538308915434512
PC38,0.12253337731130565
PC85,0.11906555729712537
PC217,0.11392348031842399
PC43,0.11342309570361012
PC37,0.11257796707133147
PC8,0.11094407311651058
PC33,0.11082110528688677
PC40,0.10826913695841482
PC81,0.10654340947434562
PC149,0.1056199032090653
PC164,0.10548404341042174
PC13,0.10429881649030588
PC138,0.10397884845564283
PC12,0.10393007455047118
PC16,0.10341424412432536
PC5,0.10269472751178046
PC163,0.102516476646342
PC14,0.10124262503605858
PC52,0.0986461892094422
PC83,0.0985235055671528
PC24,0.09810142799632007
PC76,0.09716855629770836
PC18,0.09683590193807831
PC133,0.09639723421175544
PC27,0.09614293512599276
PC19,0.09603714408649204
PC58,0.09585042059029932
PC97,0.09512634074555028
PC59,0.09446286834817144
PC132,0.09433808330004854
PC49,0.09345257489851891
PC127,0.09299532427384707
PC145,0.09262095458542836
PC90,0.09151141463678687
PC94,0.09094567248369541
PC341,0.09033729968673798
PC162,0.09027432798206983
