feature,importance
PC3,0.11158556520687613
PC22,0.04919406537750599
PC4,0.03301753235830264
PC31,0.018845472373149538
PC37,0.018815476795243882
PC12,0.01582735948779141
PC34,0.015152583890263136
PC6,0.014440389899761884
PC25,0.014276837233210335
PC23,0.014062002831622334
PC1,0.013083485319910354
PC14,0.010900993577898838
PC24,0.010356079482215395
PC41,0.009556158808381824
PC28,0.009548663899851467
PC10,0.009414000882455498
PC32,0.008665673966679305
PC30,0.008435502084098925
PC5,0.008415557813698807
PC11,0.008056304214849456
PC2,0.00780401749561844
PC20,0.0077566695367182826
PC42,0.007635972559834538
PC53,0.007525854418621569
PC26,0.007191177958621329
PC29,0.007067080776401647
PC16,0.007021844846102942
PC15,0.0068784237397363475
PC46,0.006856617963925593
PC13,0.006745432758918664
PC43,0.006589652962589136
PC72,0.005999522851899971
PC75,0.005920391837504221
PC38,0.0058131869991615015
PC8,0.005657621200956857
PC48,0.0055570661754543
PC81,0.0054007945463445985
PC55,0.005157053938903985
PC59,0.005117170753427114
PC27,0.005084770779938015
PC35,0.004671713990923744
PC58,0.00446026960286137
PC63,0.004351478165520682
PC36,0.004344167129175407
PC68,0.004271181951096366
PC52,0.0042050049754977
PC86,0.004197353844701461
PC69,0.004135405062904377
PC33,0.004030229242537122
PC51,0.00402265321816265
PC140,0.0038031805685523282
PC88,0.003729628060851284
PC151,0.0035521539783916036
PC74,0.003520046300275679
PC71,0.003518663359501557
PC175,0.0034395798287338904
PC341,0.003425108161899002
PC39,0.003410853358277661
PC62,0.003385340201469139
PC106,0.0033752905415925737
