feature,importance
PC3,0.037196643993326915
PC22,0.024252155467136063
PC4,0.020182457894048836
PC31,0.013105042968069388
PC34,0.008267535962852521
PC10,0.008248598527087163
PC12,0.008155005071702824
PC37,0.007667177940753991
PC30,0.006856890308092374
PC23,0.006775378129341311
PC28,0.006437022656170712
PC2,0.006210042341743628
PC1,0.006204781753757898
PC25,0.006103867981831947
PC24,0.005950906286735247
PC42,0.005865844959168914
PC14,0.005666233769325258
PC26,0.005657094732238351
PC27,0.0055335529154273595
PC20,0.005480679691650756
PC5,0.005390080328167422
PC11,0.0051361623880749755
PC41,0.0050036844465324625
PC15,0.004997919706659982
PC53,0.004718486943646322
PC13,0.004663567125472979
PC36,0.004611826394801974
PC48,0.004553364816875232
PC43,0.004507491800849858
PC64,0.004448822269454579
PC46,0.004376333369634135
PC21,0.00429952946119391
PC6,0.00428380563515956
PC16,0.0041493696616208536
PC29,0.004147723027657784
PC81,0.0038921584045046383
PC35,0.0038366349802446244
PC32,0.0037802215327511052
PC38,0.003645499121684887
PC9,0.0034659136280669506
PC58,0.003418284530108351
PC39,0.003364993801323565
PC52,0.003343086800991522
PC72,0.0032613750415464277
PC8,0.00315703420644168
PC40,0.0031555772477338366
PC33,0.003137332534636258
PC75,0.003125756093015006
PC19,0.003048919271812878
PC59,0.003032250805957993
PC140,0.002967376908204691
PC51,0.002933478510913615
PC44,0.0028882362705959395
PC50,0.002810701212319705
PC45,0.002802504563972795
PC79,0.0027996519544777883
PC85,0.0027653759775877274
PC49,0.002752011880515308
PC55,0.002716320524996292
PC47,0.002714286899525476
