feature,importance
PC3,0.13306238419809316
PC22,0.08572802679974778
PC4,0.06685914838878396
PC482,0.04525654858479744
PC31,0.025628285879605167
PC229,0.025222255073158
PC391,0.023671699466772864
PC14,0.014758600191819694
PC431,0.01417561099348427
PC28,0.01292489870421816
PC20,0.010656219079699498
PC11,0.010654334823311455
PC25,0.009610474106066426
PC243,0.009447799519968726
PC42,0.008870253307243281
PC34,0.008831669638219368
PC348,0.00824365697122009
PC46,0.008088167899634253
PC30,0.007747607856232322
PC21,0.0077319843704533745
PC35,0.007659843527969997
PC145,0.007634283578219244
PC72,0.007444025055294812
PC171,0.007306522602900098
PC241,0.007060869230737867
PC79,0.007060071046208219
PC512,0.006917541408188772
PC58,0.006761744377516225
PC2,0.00626018119814906
PC12,0.006217989530860363
PC60,0.006151858092919629
PC433,0.005890801820704275
PC404,0.0058433373806585105
PC24,0.005358034272452776
PC33,0.005141447537667612
PC347,0.005091645136113411
PC43,0.0049708539234948656
PC26,0.004876736351393598
PC36,0.004875851372150256
PC290,0.004771004130790541
PC23,0.004638082974572554
PC487,0.004582638405028062
PC75,0.004470544391153904
PC140,0.004421060114629328
PC29,0.004419850836247785
PC32,0.004335547411617315
PC403,0.004278143593901255
PC421,0.0042586721508951365
PC134,0.004251658565524921
PC516,0.004183673726719607
PC208,0.0041351430034095495
PC37,0.00408812612630059
PC8,0.004078241178497742
PC61,0.004035235624247856
PC118,0.003915982360852078
PC6,0.0038236752849206647
PC49,0.0037311505835700507
PC351,0.0037186984393682136
PC221,0.0036564573979734442
PC68,0.0036299857260367477
