dim_1,dim_2,class_name,split
6.3756347,-18.789095,alicate_corte,train
0.27830654,-16.20537,alicate_corte,train
-4.306672,-7.0912733,alicate_corte,train
0.3532583,7.188866,alicate_corte,train
29.724886,-7.410232,alicate_corte,val
-0.6355783,10.06052,alicate_corte,train
-33.017567,19.596956,alicate_corte,val
19.155884,7.020605,alicate_corte,train
11.993523,-13.380431,alicate_corte,train
-6.3559127,-48.57219,alicate_corte,train
7.1597204,-30.66323,alicate_corte,train
-29.270235,5.9923334,alicate_corte,val
-5.723888,-29.207651,alicate_corte,val
54.18294,-5.757157,alicate_corte,train
7.408952,-32.470367,alicate_corte,test
1.5893391,6.439387,alicate_corte,train
4.2045074,-10.081749,alicate_corte,test
-4.8246818,13.250065,alicate_corte,train
-1.4738257,-30.546951,alicate_corte,val
4.2314444,-9.886736,alicate_corte,train
-24.264894,-7.227926,alicate_corte,val
-20.658379,3.9293582,alicate_corte,train
-16.127419,-2.0302842,alicate_corte,test
-15.483873,-2.100224,alicate_corte,train
2.4502687,22.12455,alicate_corte,train
6.0893598,-27.871023,alicate_corte,test
30.357166,-11.528268,alicate_corte,val
22.361525,10.410204,alicate_corte,train
11.7103195,1.5210034,alicate_corte,train
21.872423,11.701874,alicate_corte,train
24.00309,10.453415,alicate_corte,val
-9.128924,-15.572021,alicate_corte,train
1.766342,4.858501,alicate_corte,train
25.20579,-7.9561844,alicate_corte,train
-26.15673,-16.139751,alicate_corte,test
-9.728148,-13.944013,alicate_corte,train
-25.83402,-16.056797,alicate_corte,val
-8.172904,-31.006289,alicate_corte,train
8.546666,5.3784404,alicate_corte,train
15.086071,-7.339054,alicate_corte,train
4.1449733,5.6395288,alicate_corte,train
3.1396794,-17.867825,alicate_corte,train
-14.64992,-16.61974,alicate_corte,train
-37.217514,-11.414459,alicate_corte,train
-5.452205,20.044783,alicate_corte,test
4.5070677,12.962764,alicate_corte,train
-12.298614,17.445492,alicate_corte,train
8.916282,10.327208,alicate_corte,train
8.868038,-17.43706,alicate_corte,train
-7.6099358,-21.499641,alicate_corte,train
-15.237207,26.598053,alicate_corte,val
7.9884973,-31.748503,alicate_corte,train
-5.0413857,5.8235946,alicate_corte,train
3.602918,-26.594763,alicate_corte,test
-43.555225,36.117702,alicate_corte,val
0.8522359,-18.750257,alicate_corte,train
35.985004,3.683714,alicate_corte,val
23.188593,0.756004,alicate_corte,train
-15.204592,-6.12215,alicate_corte,train
5.455642,1.8391536,alicate_corte,train
-25.424778,-15.892962,alicate_corte,train
-24.055033,-15.132252,alicate_corte,test
6.7951975,0.83990836,alicate_corte,train
-28.353947,-19.882765,alicate_corte,train
-6.729638,-2.4490447,alicate_corte,train
-27.780622,-13.167777,alicate_corte,test
-1.3403757,-6.0097237,alicate_corte,train
-13.786048,22.158978,alicate_corte,train
17.941746,-2.2076747,alicate_corte,train
39.867107,40.6902,alicate_corte,train
39.86872,40.69049,alicate_corte,val
-5.978152,33.4228,alicate_corte,val
14.353651,35.634056,calibrador,train
-49.16117,-19.586462,calibrador,train
21.191483,-24.975172,calibrador,test
10.702452,10.146503,calibrador,train
-8.3731165,-14.165738,calibrador,train
29.834131,-21.925608,calibrador,train
4.8354635,33.104134,calibrador,train
42.62844,24.099798,calibrador,val
-1.6912094,-35.797874,calibrador,val
-12.051656,-2.872093,calibrador,train
-12.039007,-2.152365,calibrador,train
-33.43835,20.603413,calibrador,train
53.734627,12.5088415,calibrador,train
13.494532,25.804514,calibrador,train
5.387249,44.008175,calibrador,train
2.2493482,11.411245,calibrador,train
32.923725,25.20279,calibrador,train
5.9855533,18.233711,calibrador,train
6.0055475,18.079077,calibrador,train
17.024385,-54.48305,calibrador,train
35.058403,-19.46684,calibrador,val
33.957462,-11.033102,calibrador,train
-1.170237,-9.828612,calibrador,train
30.610785,-23.87627,calibrador,test
2.9888885,11.849541,calibrador,train
2.88021,11.915362,calibrador,train
-18.170328,18.51104,calibrador,train
-18.164295,18.51138,calibrador,train
-11.177774,-31.834106,calibrador,val
-11.14813,-31.824224,calibrador,train
-2.5977507,19.779785,calibrador,train
17.081493,-52.449814,calibrador,val
53.875134,12.354933,calibrador,val
13.499283,25.818039,calibrador,train
-6.561702,-0.9925833,calibrador,train
-0.8467081,16.489355,calibrador,train
-5.6439166,-0.20920579,calibrador,train
3.4862494,-15.2965555,calibrador,test
14.144519,-1.9100187,calibrador,val
14.278765,-1.9162319,calibrador,train
8.376787,3.3549106,calibrador,train
7.9584513,2.6372502,calibrador,train
8.096974,5.019351,calibrador,train
10.637838,10.210212,calibrador,train
24.161442,-22.823181,calibrador,train
