,svm,rf,logreg,lightgbm,extratrees,xgboost,catboost,gradientboosting,adaboost,knn,naivebayes
alicate_corte,0.0,0.06318926974664674,0.06318926974664674,0.11610845295055816,0.054853620955315874,0.10909090909090913,0.08875192604006166,0.009090909090909038,-0.012337662337662314,-0.024242424242424288,-0.2464646464646465
calibrador,0.0,0.017979904812268632,0.03538901899557634,-0.010245901639344246,0.0036429872495445936,-0.010245901639344246,-0.03676105315449574,-0.02370744010088266,-0.1484037963761864,0.06557377049180324,-0.22670931627349056
cutter,0.0,0.02386363636363631,-0.04583333333333328,0.012896825396825351,0.015086206896551713,0.0071721311475410054,-0.10063559322033899,-0.0740384615384615,-0.21009036144578308,-0.2899774774774775,-0.4720744680851064
destornillador_chico_plano,0.0,0.0,0.03995901639344257,0.02620967741935487,0.0071721311475410054,-0.03125,-0.006048387096774244,-0.032838983050847426,-0.14583333333333337,-0.3246951219512195,-0.8125
llave_chica_mixta,0.0,-0.05461527520978515,0.025316455696202556,0.02750429754649164,-0.08172812328013201,-0.03241741278172272,-0.005123568414707624,-0.0390171258376768,-0.08607594936708851,0.00581594252480333,-0.333230420911804
llave_regulable,0.0,-0.032467532467532534,-0.012211668928086894,-0.025078369905956133,-0.0634648370497427,-0.08484848484848495,-0.10389610389610393,-0.13893653516295035,-0.25407925407925414,-0.0312965722801789,-0.38339920948616607
pelacables,0.0,-0.10909090909090902,-0.0061749571183532526,-0.09952153110047846,-0.10909090909090902,-0.1304812834224598,-0.1577922077922077,-0.16969696969696968,-0.1963636363636363,-0.09126559714795002,-0.15711835334476842
wincha,0.0,0.003225806451612856,0.0,0.003225806451612856,-0.011111111111111183,0.003225806451612856,0.003225806451612856,0.033333333333333326,0.0180327868852459,-0.07647058823529418,-0.26
