,svm,rf,logreg,lightgbm,extratrees,xgboost,catboost,gradientboosting,adaboost,knn,naivebayes
alicate_corte,0.6909090909090909,0.7540983606557377,0.7540983606557377,0.8070175438596491,0.7457627118644068,0.8,0.7796610169491526,0.7,0.6785714285714286,0.6666666666666666,0.4444444444444444
calibrador,0.8852459016393442,0.9032258064516129,0.9206349206349206,0.875,0.8888888888888888,0.875,0.8484848484848485,0.8615384615384616,0.7368421052631579,0.9508196721311475,0.6585365853658537
cutter,0.8125,0.8363636363636363,0.7666666666666667,0.8253968253968254,0.8275862068965517,0.819672131147541,0.711864406779661,0.7384615384615385,0.6024096385542169,0.5225225225225225,0.3404255319148936
destornillador_chico_plano,0.8125,0.8125,0.8524590163934426,0.8387096774193549,0.819672131147541,0.78125,0.8064516129032258,0.7796610169491526,0.6666666666666666,0.4878048780487805,0.0
llave_chica_mixta,0.8860759493670886,0.8314606741573034,0.9113924050632911,0.9135802469135802,0.8043478260869565,0.8536585365853658,0.8809523809523809,0.8470588235294118,0.8,0.8918918918918919,0.5528455284552846
llave_regulable,0.8181818181818182,0.7857142857142857,0.8059701492537313,0.7931034482758621,0.7547169811320755,0.7333333333333333,0.7142857142857143,0.6792452830188679,0.5641025641025641,0.7868852459016393,0.43478260869565216
pelacables,0.8363636363636363,0.7272727272727273,0.8301886792452831,0.7368421052631579,0.7272727272727273,0.7058823529411765,0.6785714285714286,0.6666666666666666,0.64,0.7450980392156863,0.6792452830188679
wincha,0.9,0.9032258064516129,0.9,0.9032258064516129,0.8888888888888888,0.9032258064516129,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.8235294117647058,0.64
