feature,importance
PC3,0.016204705461859703
PC22,0.009930407628417015
PC31,0.008004529401659966
PC14,0.005820946302264929
PC28,0.005738407839089632
PC24,0.0056667025201022625
PC530,0.005608221050351858
PC1,0.005606348626315594
PC37,0.005604236852377653
PC140,0.005409670062363148
PC4,0.005140964407473803
PC41,0.005118268076330423
PC12,0.004995404276996851
PC162,0.004935859702527523
PC2,0.004887554794549942
PC53,0.004777408204972744
PC66,0.004658577498048544
PC23,0.004657753277570009
PC36,0.004654679913073778
PC10,0.00465219235047698
PC34,0.004638150800019503
PC232,0.00454744091257453
PC93,0.0045043486170470715
PC69,0.004470003768801689
PC538,0.004411105532199144
PC11,0.004379598889499903
PC5,0.004336741287261248
PC42,0.004281135741621256
PC29,0.004246362950652838
PC498,0.004184659570455551
PC25,0.004119186662137508
PC76,0.0040608556009829044
PC137,0.004027519840747118
PC383,0.003969367127865553
PC125,0.003900642739608884
PC30,0.003845651401206851
PC59,0.0038186649326235056
PC8,0.0037367406766861677
PC100,0.0036757076159119606
PC206,0.0036734924651682377
PC58,0.0036614942364394665
PC32,0.0036490866914391518
PC51,0.0036191127728670835
PC74,0.003596741473302245
PC46,0.0035783343482762575
PC35,0.0035442491061985493
PC215,0.0034928678069263697
PC112,0.0034857038408517838
PC198,0.003447269555181265
PC385,0.0033631448168307543
PC145,0.0033422294072806835
PC17,0.0033320870716124773
PC477,0.0033261007629334927
PC26,0.0033205407671630383
PC150,0.003308845916762948
PC7,0.0032990730833262205
PC43,0.0032837039325386286
PC6,0.003255389630794525
PC96,0.0032199269626289606
PC389,0.003208017209544778
