feature,importance
PC3,15.743629178104982
PC22,13.333746859056431
PC4,6.748489811308953
PC31,6.047023921422724
PC30,2.0587688830022874
PC37,1.7648580057472654
PC34,1.6543307482449816
PC42,1.5324118976010912
PC29,1.4965721328908175
PC2,1.2938606907695618
PC75,1.2068998734073513
PC52,1.1994451229512972
PC24,1.1759385077779998
PC81,1.1503544078659649
PC32,1.1074117473090028
PC25,1.0992816559532128
PC28,1.067928249576506
PC12,1.044874783281759
PC1,1.0034770663065191
PC53,0.9983108129457119
PC48,0.9824059975433019
PC43,0.9575607652998546
PC20,0.9169488120296085
PC35,0.8810755557628
PC64,0.728873472361595
PC36,0.6831519334526377
PC72,0.6559321499763999
PC14,0.6556333639940162
PC33,0.5936348479908276
PC26,0.5239839610936637
PC138,0.49921473533712124
PC8,0.47756267380838413
PC217,0.43486338700463406
PC140,0.4323991306038713
PC40,0.41944909191624813
PC59,0.4040259163186254
PC79,0.3912664437752894
PC70,0.391005544179431
PC80,0.38387291972240484
PC49,0.38245466365447267
PC46,0.36713292142845144
PC13,0.3615423845520583
PC99,0.3543191372355324
PC15,0.35114722332091347
PC16,0.31876518988908675
PC6,0.3186173220266448
PC10,0.30608232339738606
PC151,0.30439941301694207
PC58,0.29651524168356436
PC62,0.2953608843637262
PC87,0.2927343312103476
PC149,0.2892666599526141
PC44,0.28296167294742847
PC41,0.2735388036615771
PC50,0.27175948511415665
PC128,0.271714988735416
PC88,0.2701885952550302
PC162,0.26958471563438857
PC117,0.2684524294165704
PC163,0.2679429605219491
