feature,importance
PC22,0.21230845211547344
PC3,0.2088300772078178
PC4,0.15936670539944928
PC64,0.12377630051412199
PC31,0.12189246921605965
PC34,0.10422260771289998
PC29,0.10417849120157929
PC30,0.10184566971571259
PC20,0.0929708012901402
PC75,0.09283351730109464
PC25,0.09215029731232355
PC32,0.08619018540345777
PC36,0.08442603650591186
PC42,0.08246763820666954
PC72,0.08183413314399657
PC28,0.07837080400654897
PC11,0.07786146687741607
PC48,0.07733474077990408
PC9,0.07722873565604832
PC41,0.07571031208378057
PC85,0.07524842282279982
PC15,0.07458448022816058
PC149,0.07351469745118772
PC79,0.07283390812232687
PC53,0.07278898370336784
PC40,0.0658122639898148
PC127,0.06398408686321548
PC38,0.06341253766356864
PC63,0.06336376388581377
PC217,0.0630785949703708
PC49,0.0630671730956022
PC43,0.06180580463200529
PC18,0.06178764925091655
PC52,0.06135842023806516
PC14,0.060322477585128244
PC16,0.05939591952041301
PC163,0.05932585965450485
PC138,0.05862275857796704
PC24,0.05859424132074119
PC97,0.05782767109796585
PC37,0.05758308554629106
PC81,0.05707950458260072
PC12,0.05670075914580384
PC167,0.05594172080717492
PC399,0.055636853799940524
PC58,0.05537195126095642
PC142,0.055355298114010715
PC151,0.05489947206432849
PC140,0.05399839133142455
PC90,0.0539745389868119
PC91,0.05388835295959948
PC175,0.05357810541907916
PC230,0.053123511123261725
PC27,0.05311346738236451
PC124,0.05288420033367294
PC33,0.05277270295941516
PC44,0.052697963253617267
PC123,0.05244925009194569
PC60,0.05231446956518797
PC128,0.05223783652414127
